 ,Area,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
130,1642.208,69.388,24.4,177.999,73.167,2017,1506,2.177,25.331
131,2027.082,78.399,26.666,10.359,82.131,3477,1589,9.941,29.021
132,2731.062,95.57,29.471,180,98.813,1541,1572,5.165,30.398
133,2387.457,83.965,29.324,9.175,88.159,3165,1639,11.274,30.99
134,2405.387,92.521,26.812,44.611,96.135,2831,1810,41.248,29.131
135,2473.011,87.665,29.093,178.695,93.458,2041,1621,178.125,30.709
136,2496.119,88.8,28.9,11.24,92.314,306,1727,14.831,31.64
137,2720.474,95.212,29.467,179.477,99.322,1589,1689,2.246,30.58
138,2268.363,76.309,30.656,63.726,80.315,2445,1891,63.258,31.882
139,2279.26,88.21,26.648,44.459,91.05,2932,1877,43.392,27.5
140,1615.545,69.822,23.862,44.023,72.4,3085,1876,49.828,25.558
141,2492.409,85.754,29.975,179.234,88.71,2096,1745,178.563,31.209
142,2416.362,80.8,30.841,66.792,84.922,2577,1991,67.885,32.333
143,2493.336,88.529,29.045,66.161,92.39,2664,2072,66.598,30.704
144,2603.08,91.249,29.421,177.623,94.93,2089,1864,176.978,30.215
145,1837.582,68.014,27.864,65.728,71.963,2784,2097,67.993,29.689
146,2801.72,98.276,29.401,32.26,102.376,3819,285,34.372,30.406
147,2483.436,83.329,30.735,79.85,87.351,3585,364,80.647,32.67
148,2174.292,82.258,27.26,31.883,86.067,3664,264,32.816,28.615
149,2937.784,88.964,34.056,63.493,95.928,3982,422,60.906,35.643
150,2262.031,82.651,28.225,71.346,86.997,3427,475,68.819,30.305
151,2681.078,94.069,29.39,61.729,97.964,4040,504,58.833,30.401
152,2297.561,80.728,29.351,34.016,85.786,3603,414,34.567,31.123
153,3084.588,111.136,28.624,33.761,114.463,3661,485,33.925,29.62
154,2528.677,89.17,29.245,61.523,92.524,4134,548,64.465,30.316
155,2669.311,95.343,28.873,31.504,99.029,3721,574,32.171,30.55
156,2503.2,91.756,28.135,35.544,94.929,3803,655,35.727,29.665
157,2456.817,82.122,30.853,126.385,85.65,3461,489,127.141,31.996
158,2947.381,96.706,31.432,35.822,100.744,3862,741,35.716,32.688
159,2043.939,72.922,28.907,127.031,75.803,3384,554,119.079,29.832
160,2344.744,96.469,25.066,129.134,99.242,3249,570,130.58,26.516
161,2684.277,105,26.365,139.133,108.555,3656,616,139.167,27.663
162,2332.406,85.358,28.18,33.982,88.504,3909,813,32.84,29.529
163,2214.734,82.984,27.524,130.85,86.058,3193,676,126.375,29.811
164,2408.035,82.573,30.076,136.865,86.359,3610,740,141.515,31.085
165,2436.482,81.44,30.854,132.144,84.996,3121,753,129.514,31.966
166,2310.242,81.31,29.301,131.499,84.716,3016,787,132.089,30.273
167,2534.503,89.556,29.18,137.888,93.607,3548,823,140.274,30.402
168,2261.574,77.084,30.25,130.826,80.929,2934,871,129.407,31.368
169,2663.256,90.518,30.344,138.543,94.241,3463,890,142.431,31.216
170,2558.951,86.25,30.598,138.718,91.06,3335,887,134.85,31.755
171,2164.695,72.945,30.604,138.315,76.862,3245,972,140.711,31.816
172,2601.222,82.08,32.683,40.056,86.339,2771,1168,40.236,34.201
173,2779.442,96.46,29.717,139.608,100.473,3134,995,137.454,30.753
174,2872.323,104.136,28.446,138.904,107.346,3052,1070,139.086,29.26
175,2682.221,90.13,30.6,30.63,93.867,3359,1215,29.796,32.348
176,2793.951,107.306,26.853,36.734,112.217,2471,1309,37.042,28.474
177,2507.313,90.06,28.711,36.405,95.344,2555,1357,34.31,30.623
