Exp_eres,Exp_lw,Exp_width,Exp_length,Sim_eres,Sim_lw,Sim_width,Sim_length,Exp_ratio,Sim_ratio,dif_eres,dif_lw,dif_width,dif_length,dif_ratio
1.7762,0.1088,27.66,93.71,1.77899891,0.109265295,29.96,92.01,3.387924801,3.071094793,0.00279891,0.000465295,2.3,-1.7,-0.316830008
1.8259,0.1089,28.19,89.34,1.826240943,0.114199143,30.29,87.24,3.169208939,2.880158468,0.000340943,0.005299143,2.1,-2.1,-0.289050471
1.697,0.1137,29.84,102.57,1.697583275,0.103751219,30.04,100.97,3.43733244,3.361185087,0.000583275,-0.009948781,0.2,-1.6,-0.076147353
1.8431,0.1015,27.22,88.63,1.843523633,0.116799181,30.52,85.33,3.256061719,2.79587156,0.000423633,0.015299181,3.3,-3.3,-0.46019016
1.8797,0.0987,23.64,72.41,1.878818768,0.119433157,25.34,68.81,3.063028765,2.715469613,-0.000881232,0.020733157,1.7,-3.6,-0.347559152
1.9109,0.1165,30.31,81.03,1.90875003,0.136768743,31.01,79.63,2.673375124,2.567881329,-0.00214997,0.020268743,0.7,-1.4,-0.105493795
1.9532,0.1178,29.83,75.61,1.956162154,0.161794511,30.93,74.81,2.534696614,2.418687359,0.002962154,0.043994511,1.1,-0.8,-0.116009256
1.9334,0.114,29.2,75.44,1.93577929,0.150064961,29.8,74.24,2.583561644,2.491275168,0.00237929,0.036064961,0.6,-1.2,-0.092286476
1.7952,0.0942,24.13,85.74,1.792671053,0.102231889,27.03,82.04,3.553253212,3.035146134,-0.002528947,0.008031889,2.9,-3.7,-0.518107078
1.8694,0.1038,27.93,87.72,1.86708387,0.125332619,31.23,84.72,3.140708915,2.712776177,-0.00231613,0.021532619,3.3,-3,-0.427932738
1.9581,0.1211,23.29,62.23,1.960811732,0.168204365,24.99,60.93,2.671962216,2.43817527,0.002711732,0.047104365,1.7,-1.3,-0.233786945
1.8502,0.1095,29.81,87.65,1.852507829,0.124041359,31.01,85.95,2.940288494,2.771686553,0.002307829,0.014541359,1.2,-1.7,-0.168601941
1.8173,0.0972,26.08,87.93,1.815891669,0.113954335,29.38,85.73,3.37154908,2.917971409,-0.001408331,0.016754335,3.3,-2.2,-0.453577671
1.8275,0.0994,27.62,88.93,1.829421545,0.113918058,30.12,86.43,3.219768284,2.869521912,0.001921545,0.014518058,2.5,-2.5,-0.350246372
1.8109,0.0972,28.06,93.45,1.808279101,0.114684569,31.26,91.25,3.330363507,2.919065899,-0.002620899,0.017484569,3.2,-2.2,-0.411297608
1.8902,0.1093,28.7,83.82,1.888656996,0.131274574,31,81.52,2.920557491,2.629677419,-0.001543004,0.021974574,2.3,-2.3,-0.290880072
1.8549,0.1013,29.27,85.9,1.852311879,0.117649084,30.27,84.3,2.934745473,2.78493558,-0.002588121,0.016349084,1,-1.6,-0.149809893
1.8166,0.0969,28.54,88.45,1.818366338,0.115877945,29.74,87.25,3.099159075,2.933759247,0.001766338,0.018977945,1.2,-1.2,-0.165399828
1.6887,0.1062,25.36,99.9,1.691516951,0.098908524,28.56,97.5,3.939274448,3.413865546,0.002816951,-0.007291476,3.2,-2.4,-0.525408902
1.8623,0.1039,27.4,84.39,1.861610459,0.118078168,29.7,81.59,3.079927007,2.747138047,-0.000689541,0.014178168,2.3,-2.8,-0.33278896
1.5274,0.1066,26.27,123.66,1.529401688,0.096462892,29.37,119.86,4.707270651,4.08103507,0.002001688,-0.010137108,3.1,-3.8,-0.626235581
1.842,0.1061,27.86,88.41,1.839933352,0.115657086,29.96,85.71,3.173366834,2.860814419,-0.002066648,0.009557086,2.1,-2.7,-0.312552415
1.802,0.0982,29.6,92.51,1.804987639,0.115022079,31.2,92.01,3.125337838,2.949038462,0.002987639,0.016822079,1.6,-0.5,-0.176299376
1.9286,0.1177,28.38,81.09,1.926318971,0.150939493,31.18,78.49,2.857293869,2.517318794,-0.002281029,0.033239493,2.8,-2.6,-0.339975075
1.8777,0.1042,29.64,82.23,1.875263811,0.125051652,30.74,81.43,2.774291498,2.648991542,-0.002436189,0.020851652,1.1,-0.8,-0.125299956
