Wavelength,n,k
564.087524,1.522629,0
565.667114,1.522561,0
567.246704,1.522494,0
568.826172,1.522428,0
570.40564,1.522362,0
571.984985,1.522296,0
573.564331,1.522231,0
575.143555,1.522167,0
576.722778,1.522103,0
578.30188,1.52204,0
579.880981,1.521977,0
581.460083,1.521915,0
583.039001,1.521853,0
584.617981,1.521792,0
586.196838,1.521731,0
587.775635,1.521671,0
589.35437,1.521611,0
590.933044,1.521552,0
592.511658,1.521493,0
594.09021,1.521435,0
595.668701,1.521377,0
597.247192,1.52132,0
598.825562,1.521263,0
600.40387,1.521206,0
601.982056,1.52115,0
603.560303,1.521095,0
605.138428,1.521039,0
606.716431,1.520985,0
608.294495,1.52093,0
609.872437,1.520877,0
611.450317,1.520823,0
613.028076,1.52077,0
614.605835,1.520717,0
616.183472,1.520665,0
617.761108,1.520613,0
619.338623,1.520562,0
620.916138,1.520511,0
622.49353,1.52046,0
624.070862,1.52041,0
625.648132,1.52036,0
627.225342,1.520311,0
628.802429,1.520261,0
630.379517,1.520213,0
631.956482,1.520164,0
633.533447,1.520116,0
635.110291,1.520069,0
636.687073,1.520021,0
638.263794,1.519974,0
639.840454,1.519928,0
641.416992,1.519881,0
642.993469,1.519835,0
644.569946,1.51979,0
646.14624,1.519745,0
647.722534,1.5197,0
649.298706,1.519655,0
650.874878,1.519611,0
652.450928,1.519567,0
654.026917,1.519523,0
655.602783,1.51948,0
657.178589,1.519437,0
658.754395,1.519394,0
660.330078,1.519352,0
661.90564,1.51931,0
663.481201,1.519268,0
665.056641,1.519227,0
666.631958,1.519186,0
668.207275,1.519145,0
669.782471,1.519104,0
671.357605,1.519064,0
672.932678,1.519024,0
674.50769,1.518984,0
676.082581,1.518945,0
677.657349,1.518905,0
679.232056,1.518866,0
680.806763,1.518828,0
682.381287,1.51879,0
683.955811,1.518751,0
685.530212,1.518714,0
687.104553,1.518676,0
688.678772,1.518639,0
690.25293,1.518602,0
691.827026,1.518565,0
693.401001,1.518528,0
694.974915,1.518492,0
696.548706,1.518456,0
698.122437,1.51842,0
699.696106,1.518385,0
701.269653,1.518349,0
702.84314,1.518314,0
704.416565,1.518279,0
705.989868,1.518245,0
707.563049,1.51821,0
709.136169,1.518176,0
710.709229,1.518142,0
712.282166,1.518109,0
713.855042,1.518075,0
715.427856,1.518042,0
717.000488,1.518009,0
718.57312,1.517976,0
720.14563,1.517944,0
721.718018,1.517911,0
723.290344,1.517879,0
724.862549,1.517847,0
726.434692,1.517815,0
728.006714,1.517784,0
729.578735,1.517752,0
731.150574,1.517721,0
732.72229,1.51769,0
734.294006,1.51766,0
735.865601,1.517629,0
737.437073,1.517599,0
739.008484,1.517569,0
740.579773,1.517539,0
742.151001,1.517509,0
743.722046,1.517479,0
745.293091,1.51745,0
746.864014,1.517421,0
748.434814,1.517392,0
750.005493,1.517363,0
751.576172,1.517334,0
753.146667,1.517306,0
754.717102,1.517278,0
756.287476,1.51725,0
757.857666,1.517222,0
759.427795,1.517194,0
760.997803,1.517166,0
762.567749,1.517139,0
764.137573,1.517112,0
765.707336,1.517085,0
767.276917,1.517058,0
768.846436,1.517031,0
770.415894,1.517005,0
771.985229,1.516978,0
773.554382,1.516952,0
775.123535,1.516926,0
776.692505,1.5169,0
778.261414,1.516874,0
779.8302,1.516849,0
781.398926,1.516823,0
782.967529,1.516798,0
784.536011,1.516773,0
786.10437,1.516748,0
787.672668,1.516723,0
789.240845,1.516698,0
790.808899,1.516674,0
792.376831,1.516649,0
793.944702,1.516625,0
795.512451,1.516601,0
797.080078,1.516577,0
798.647583,1.516553,0
800.214966,1.51653,0
801.782349,1.516506,0
803.349487,1.516483,0
804.916626,1.51646,0
806.483582,1.516436,0
808.050415,1.516413,0
809.617188,1.516391,0
811.183838,1.516368,0
812.750366,1.516345,0
814.316772,1.516323,0
815.883057,1.516301,0
817.44928,1.516278,0
819.01532,1.516256,0
820.58136,1.516234,0
822.147156,1.516213,0
823.712891,1.516191,0
825.278503,1.516169,0
826.844055,1.516148,0
828.409363,1.516127,0
829.974731,1.516106,0
831.539856,1.516085,0
833.104858,1.516064,0
834.6698,1.516043,0
836.23468,1.516022,0
837.799316,1.516001,0
839.363892,1.515981,0
840.928345,1.515961,0
842.492676,1.51594,0
844.056946,1.51592,0
845.620972,1.5159,0
847.184937,1.51588,0
848.74884,1.515861,0
850.312622,1.515841,0
851.87616,1.515821,0
853.439636,1.515802,0
855.003052,1.515783,0
856.566284,1.515763,0
858.129395,1.515744,0
859.692383,1.515725,0
861.255249,1.515706,0
862.818054,1.515687,0
864.380676,1.515669,0
865.943237,1.51565,0
867.505554,1.515632,0
869.067871,1.515613,0
870.630005,1.515595,0
872.192017,1.515577,0
873.753906,1.515559,0
875.315613,1.515541,0
876.877258,1.515523,0
878.438782,1.515505,0
880.000183,1.515487,0
881.561401,1.51547,0
883.122559,1.515452,0
884.683472,1.515435,0
886.244446,1.515417,0
887.805176,1.5154,0
889.365723,1.515383,0
890.926147,1.515366,0
892.486511,1.515349,0
894.046753,1.515332,0
895.606812,1.515315,0
897.166809,1.515298,0
898.726685,1.515282,0
900.286316,1.515265,0
901.845886,1.515249,0
903.405273,1.515233,0
904.964539,1.515216,0
906.523743,1.5152,0
908.082703,1.515184,0
909.641602,1.515168,0
911.200378,1.515152,0
912.758972,1.515136,0
914.317505,1.51512,0
915.875854,1.515105,0
917.434082,1.515089,0
918.992065,1.515074,0
920.55011,1.515058,0
922.10791,1.515043,0
923.665527,1.515028,0
925.223022,1.515012,0
926.780457,1.514997,0
928.337708,1.514982,0
929.894836,1.514967,0
931.451782,1.514952,0
933.008606,1.514937,0
934.565308,1.514923,0
936.121887,1.514908,0
937.678223,1.514893,0
939.234558,1.514879,0
940.790649,1.514864,0
942.34668,1.51485,0
943.902527,1.514836,0
945.458191,1.514822,0
947.013794,1.514807,0
948.569153,1.514793,0
950.12439,1.514779,0
951.679565,1.514765,0
953.234558,1.514751,0
954.789368,1.514738,0
956.344055,1.514724,0
957.898621,1.51471,0
959.453003,1.514697,0
961.007324,1.514683,0
962.561401,1.51467,0
964.115356,1.514656,0
965.669128,1.514643,0
967.222839,1.51463,0
968.776367,1.514616,0
970.329773,1.514603,0
971.882996,1.51459,0
973.436035,1.514577,0
974.988953,1.514564,0
976.541809,1.514551,0
978.09436,1.514539,0
979.646851,1.514526,0
981.199219,1.514513,0
982.751343,1.5145,0
984.303406,1.514488,0
985.855286,1.514475,0
987.406921,1.514463,0
988.958496,1.51445,0
990.509949,1.514438,0
992.061218,1.514426,0
993.612305,1.514414,0
995.163269,1.514401,0
996.71405,1.514389,0
998.264771,1.514377,0
1010.914917,1.514281,0
1014.281921,1.514256,0
1017.649597,1.514231,0
1021.018066,1.514207,0
1024.387085,1.514182,0
1027.756836,1.514158,0
1031.127319,1.514135,0
1034.498413,1.514111,0
1037.870239,1.514088,0
1041.242798,1.514064,0
1044.615967,1.514042,0
1047.989746,1.514019,0
1051.36438,1.513996,0
1054.739502,1.513974,0
1058.115479,1.513952,0
1061.492065,1.51393,0
1064.869385,1.513908,0
1068.247314,1.513887,0
1071.626099,1.513866,0
1075.005371,1.513845,0
1078.385498,1.513824,0
1081.766235,1.513803,0
1085.147583,1.513783,0
1088.529663,1.513762,0
1091.912476,1.513742,0
1095.295898,1.513722,0
1098.680054,1.513702,0
1102.064941,1.513683,0
1105.450439,1.513663,0
1108.83667,1.513644,0
1112.223511,1.513625,0
1115.611084,1.513606,0
