wav,cscat,cabs
577,1.16275e-16,6.47114e-16
578,1.18163e-16,6.48253e-16
579,1.20076e-16,6.4909e-16
580,1.22037e-16,6.49658e-16
581,1.24068e-16,6.50089e-16
582,1.26182e-16,6.50554e-16
583,1.28381e-16,6.51202e-16
584,1.30653e-16,6.52105e-16
585,1.32979e-16,6.53235e-16
586,1.35344e-16,6.5449e-16
587,1.37742e-16,6.5574e-16
588,1.40179e-16,6.5689e-16
589,1.42672e-16,6.57922e-16
590,1.45245e-16,6.58911e-16
591,1.47919e-16,6.60002e-16
592,1.50704e-16,6.61363e-16
593,1.53598e-16,6.63127e-16
594,1.56589e-16,6.65353e-16
595,1.59657e-16,6.68012e-16
596,1.62787e-16,6.71003e-16
597,1.65972e-16,6.742e-16
598,1.69216e-16,6.77501e-16
599,1.72537e-16,6.8087e-16
600,1.75958e-16,6.84349e-16
601,1.79499e-16,6.88048e-16
602,1.83172e-16,6.92103e-16
603,1.8698e-16,6.96638e-16
604,1.90911e-16,7.01717e-16
605,1.94947e-16,7.07332e-16
606,1.99071e-16,7.13407e-16
607,2.03273e-16,7.19832e-16
608,2.07552e-16,7.26502e-16
609,2.11921e-16,7.33355e-16
610,2.164e-16,7.40397e-16
611,2.21009e-16,7.47696e-16
612,2.25767e-16,7.55368e-16
613,2.30678e-16,7.63529e-16
614,2.35736e-16,7.72269e-16
615,2.40925e-16,7.81616e-16
616,2.46224e-16,7.9153e-16
617,2.51615e-16,8.01918e-16
618,2.57086e-16,8.12662e-16
619,2.62639e-16,8.2365e-16
620,2.68284e-16,8.34809e-16
621,2.74039e-16,8.46117e-16
622,2.79924e-16,8.57602e-16
623,2.85954e-16,8.69317e-16
624,2.92132e-16,8.81316e-16
625,2.98456e-16,8.93622e-16
626,3.04914e-16,9.06208e-16
627,3.11493e-16,9.18993e-16
628,3.18185e-16,9.31858e-16
629,3.24993e-16,9.44667e-16
630,3.31934e-16,9.57308e-16
631,3.39037e-16,9.69709e-16
632,3.46341e-16,9.81865e-16
633,3.53888e-16,9.9383e-16
634,3.61717e-16,1.00571e-15
635,3.69859e-16,1.01763e-15
636,3.78333e-16,1.02971e-15
637,3.8715e-16,1.04204e-15
638,3.96311e-16,1.05469e-15
639,4.0582e-16,1.06766e-15
640,4.15685e-16,1.08094e-15
641,4.25923e-16,1.09452e-15
642,4.36561e-16,1.1084e-15
643,4.47636e-16,1.12263e-15
644,4.5919e-16,1.13728e-15
645,4.71264e-16,1.15248e-15
646,4.83891e-16,1.16836e-15
647,4.97097e-16,1.18507e-15
648,5.10896e-16,1.20273e-15
649,5.25291e-16,1.22141e-15
650,5.40286e-16,1.24115e-15
651,5.55883e-16,1.26195e-15
652,5.72095e-16,1.28379e-15
653,5.88944e-16,1.30664e-15
654,6.06468e-16,1.33049e-15
655,6.24715e-16,1.35538e-15
656,6.4374e-16,1.38135e-15
657,6.63599e-16,1.40852e-15
658,6.84347e-16,1.437e-15
659,7.06026e-16,1.46693e-15
660,7.28674e-16,1.49844e-15
661,7.52317e-16,1.53161e-15
662,7.76978e-16,1.56651e-15
663,8.02682e-16,1.60319e-15
