eres,linewidth,imax,width,length
1.854697063,0.227228092,4.09E-14,62,139
2.087611342,0.159343101,4.52E-16,28.2,55.6
1.766102905,0.264881422,5.31E-14,66,158
1.994009036,0.160667895,7.93E-15,42,91
1.745538408,0.080017058,4.71E-15,23.3892,77.4625
1.961608434,0.137017752,1.44E-15,27,66
1.958330622,0.376506826,4.74E-14,85,149
1.42982317,0.083802983,2.77E-15,17.3111,88.1111
1.781496908,0.08398227,5.67E-15,25.3225,79.7097
1.429868019,0.083788988,2.77E-15,17.361,88.1253
2.048227542,0.189531971,6.45E-15,46,90
1.487655413,0.082052399,3.03E-15,18.2195,85.0393
1.85981321,0.438166776,6.39E-14,91,171
1.803040736,0.317224233,5.71E-14,75,163
1.53385713,0.080847218,3.29E-15,18.5976,83.4191
1.891720921,0.370334118,5.45E-14,84,158
2.014764795,0.175573992,8.69E-15,45,94
2.005853833,0.193705022,1.38E-14,51.5,104
1.415422305,0.081578968,1.59E-15,15.6758,80.1873
2.096522345,0.176041789,4.76E-16,29.6,56.81
2.070330447,0.184330144,5.72E-15,46,87.4
1.404730356,0.083784803,2.32E-15,16.9157,87.085
1.472538457,0.084042022,3.65E-15,18.643,89.7272
1.992405338,0.137633604,3.26E-15,33,76
1.686111407,0.08823589,8.57E-15,25.7,91.01
2.023496107,0.185825146,9.19E-15,47.7,95.7
1.473515445,0.081363218,2.50E-15,17.7356,82.6018
1.248458605,0.095045532,1.79E-15,15.5342,95.635
1.988949924,0.131937356,1.53E-15,28,65.8
1.765819205,0.079761648,4.40E-15,23.8697,75.6903
2.05076373,0.186683376,7.90E-15,48,92.8
1.699397972,0.303303846,6.20E-14,70,174
1.739572418,0.082973387,6.19E-15,24.3762,82.389
1.649827897,0.081447378,5.26E-15,22.1567,83.622
1.438505178,0.086439957,4.21E-15,19.5465,94.304
2.024122771,0.138328999,1.53E-15,30.5,67
2.081716947,0.171880072,1.24E-15,33.53,66.8
1.425317583,0.086482317,3.94E-15,18.4476,95.11
2.116232401,0.21603816,4.08E-15,48,84
1.894768286,0.395632915,5.68E-14,87,161
1.500270566,0.079108035,2.01E-15,16.5345,78.0435
1.387472477,0.08240826,1.46E-15,15.5758,80.6873
1.946479918,0.136467055,7.53E-15,37.5,88.5
2.063982897,0.180286862,5.80E-15,45.4,87.4
1.61002245,0.08021821,4.24E-15,20.5749,82.5065
2.1319974,0.234557751,4.36E-15,51,85.7
1.667541649,0.083098549,6.16E-15,22.985,85.775
1.646784975,0.07560607,2.79E-15,19.4987,73.3663
1.979302836,0.151559063,6.76E-15,39,88
1.664076165,0.083325523,6.21E-15,23.0111,86.0111
1.775882674,0.079487895,4.34E-15,23.857,75.0433
1.925054966,0.130726246,9.57E-15,38,92
1.272618221,0.088158398,5.70E-16,12.237,76.8984
1.452276433,0.082652198,2.66E-15,17.4,85.6
1.554169713,0.080652314,3.56E-15,19.1603,83.0933
1.501596968,0.081273454,2.94E-15,18.3976,83.4191
