wav,cscat,cabs
400,1.1566e-16,1.49222e-15
401,1.15706e-16,1.49512e-15
402,1.15957e-16,1.49915e-15
403,1.14936e-16,1.49478e-15
404,1.13139e-16,1.48548e-15
405,1.12067e-16,1.48118e-15
406,1.11961e-16,1.48325e-15
407,1.11628e-16,1.48364e-15
408,1.10308e-16,1.47734e-15
409,1.08691e-16,1.46914e-15
410,1.07786e-16,1.46587e-15
411,1.07499e-16,1.46676e-15
412,1.06891e-16,1.4653e-15
413,1.05553e-16,1.45871e-15
414,1.04102e-16,1.4514e-15
415,1.03245e-16,1.4483e-15
416,1.02829e-16,1.44824e-15
417,1.02136e-16,1.44608e-15
418,1.00884e-16,1.43985e-15
419,9.9552e-17,1.43305e-15
420,9.8683e-17,1.42964e-15
421,9.81833e-17,1.42887e-15
422,9.75035e-17,1.42666e-15
423,9.63774e-17,1.42106e-15
424,9.51296e-17,1.41453e-15
425,9.42156e-17,1.41052e-15
426,9.36468e-17,1.40909e-15
427,9.30165e-17,1.4071e-15
428,9.20332e-17,1.40231e-15
429,9.0862e-17,1.39602e-15
430,8.98861e-17,1.39126e-15
431,8.9231e-17,1.38899e-15
432,8.86379e-17,1.38715e-15
433,8.77993e-17,1.38327e-15
434,8.67208e-17,1.37742e-15
435,8.56877e-17,1.37191e-15
436,8.49139e-17,1.3685e-15
437,8.43038e-17,1.36639e-15
438,8.35845e-17,1.36332e-15
439,8.26248e-17,1.35818e-15
440,8.15698e-17,1.35222e-15
441,8.06575e-17,1.34746e-15
442,7.99506e-17,1.34444e-15
443,7.92808e-17,1.3417e-15
444,7.84478e-17,1.33749e-15
445,7.74352e-17,1.33167e-15
446,7.64136e-17,1.32575e-15
447,7.55456e-17,1.3212e-15
448,7.48158e-17,1.31787e-15
449,7.40596e-17,1.31427e-15
450,7.31435e-17,1.30916e-15
451,7.20992e-17,1.30285e-15
452,7.10787e-17,1.29673e-15
453,7.01926e-17,1.29187e-15
454,6.94022e-17,1.2879e-15
455,6.85689e-17,1.28349e-15
456,6.75985e-17,1.27772e-15
457,6.65303e-17,1.27095e-15
458,6.54901e-17,1.26441e-15
459,6.45633e-17,1.25899e-15
460,6.37172e-17,1.25436e-15
461,6.28416e-17,1.24938e-15
462,6.18593e-17,1.24323e-15
463,6.07977e-17,1.23618e-15
464,5.97572e-17,1.22927e-15
465,5.88156e-17,1.22336e-15
466,5.79598e-17,1.21833e-15
467,5.71069e-17,1.21329e-15
468,5.61857e-17,1.20738e-15
469,5.52029e-17,1.20063e-15
470,5.42336e-17,1.19385e-15
471,5.33533e-17,1.18792e-15
472,5.25736e-17,1.18304e-15
473,5.18399e-17,1.1786e-15
474,5.10853e-17,1.17375e-15
475,5.02928e-17,1.16821e-15
476,4.95089e-17,1.16246e-15
477,4.88027e-17,1.15734e-15
478,4.82089e-17,1.15335e-15
479,4.77033e-17,1.15025e-15
480,4.72296e-17,1.14733e-15
481,4.67507e-17,1.14401e-15
482,4.62803e-17,1.14033e-15
483,4.58709e-17,1.13689e-15
484,4.55703e-17,1.13437e-15
485,4.53851e-17,1.13296e-15
486,4.52792e-17,1.13226e-15
487,4.52065e-17,1.13158e-15
488,4.51489e-17,1.13051e-15
489,4.51298e-17,1.12919e-15
490,4.51939e-17,1.1282e-15
491,4.53707e-17,1.12801e-15
492,4.56523e-17,1.12869e-15
493,4.60003e-17,1.12975e-15
494,4.63755e-17,1.13056e-15
495,4.67664e-17,1.13075e-15
496,4.7194e-17,1.13045e-15
497,4.76926e-17,1.1301e-15
498,4.82806e-17,1.13011e-15
499,4.8944e-17,1.1305e-15
500,4.96448e-17,1.13083e-15
501,5.03457e-17,1.13053e-15
502,5.10329e-17,1.1292e-15
503,5.17211e-17,1.12689e-15
504,5.24369e-17,1.12398e-15
505,5.31956e-17,1.12087e-15
506,5.39856e-17,1.11769e-15
507,5.47735e-17,1.11418e-15
508,5.55237e-17,1.10988e-15
509,5.62189e-17,1.10439e-15
510,5.6868e-17,1.09768e-15
511,5.74954e-17,1.09006e-15
512,5.81216e-17,1.08196e-15
513,5.87464e-17,1.07367e-15
514,5.93481e-17,1.06518e-15
515,5.98965e-17,1.05619e-15
516,6.03723e-17,1.04636e-15
517,6.07783e-17,1.03554e-15
518,6.11376e-17,1.0239e-15
519,6.14781e-17,1.01184e-15
520,6.18155e-17,9.99774e-16
521,6.2145e-17,9.87896e-16
522,6.24464e-17,9.76122e-16
523,6.26988e-17,9.64172e-16
524,6.28959e-17,9.51783e-16
525,6.30517e-17,9.38898e-16
526,6.3194e-17,9.25727e-16
527,6.33497e-17,9.12644e-16
528,6.35309e-17,8.99988e-16
529,6.37311e-17,8.87897e-16
530,6.39313e-17,8.76251e-16
531,6.41141e-17,8.64776e-16
532,6.42763e-17,8.53219e-16
533,6.44319e-17,8.4151e-16
534,6.46061e-17,8.29806e-16
535,6.48217e-17,8.18413e-16
536,6.5088e-17,8.07612e-16
537,6.53966e-17,7.97521e-16
538,6.57275e-17,7.8803e-16
539,6.60613e-17,7.78876e-16
540,6.63906e-17,7.6979e-16
541,6.67238e-17,7.60638e-16
542,6.7081e-17,7.5149e-16
543,6.74825e-17,7.42578e-16
544,6.79382e-17,7.34161e-16
545,6.84421e-17,7.26393e-16
546,6.89761e-17,7.19241e-16
547,6.95193e-17,7.12504e-16
548,7.00591e-17,7.0592e-16
549,7.05977e-17,6.99298e-16
550,7.11504e-17,6.92609e-16
551,7.1738e-17,6.85996e-16
552,7.23758e-17,6.79694e-16
553,7.30662e-17,6.73913e-16
554,7.37976e-17,6.68728e-16
555,7.45505e-17,6.64049e-16
556,7.53078e-17,6.59662e-16
557,7.60629e-17,6.55333e-16
558,7.6823e-17,6.50916e-16
559,7.76059e-17,6.46417e-16
560,7.8431e-17,6.41975e-16
561,7.931e-17,6.37794e-16
562,8.02419e-17,6.34032e-16
563,8.12129e-17,6.30724e-16
564,8.22035e-17,6.27756e-16
565,8.31977e-17,6.24916e-16
566,8.41897e-17,6.21977e-16
567,8.51873e-17,6.18796e-16
568,8.62074e-17,6.15362e-16
569,8.72687e-17,6.11794e-16
570,8.83833e-17,6.0828e-16
571,8.95509e-17,6.04983e-16
572,9.07598e-17,6.01975e-16
573,9.1992e-17,5.99201e-16
574,9.32313e-17,5.9651e-16
