Exp_eres,Exp_lw,Exp_width,Exp_length,Sim_eres,Sim_lw,Sim_width,Sim_length,Exp_ratio,Sim_ratio,dif_eres,dif_lw,dif_width,dif_length,dif_ratio
1.7212,0.0972,27.92,101.2,1.718597702,0.105856581,30.42,99.1,3.624641834,3.257725181,-0.002602298,0.008656581,2.5,-2.1,-0.366916653
1.9893,0.1306,28.58,72.27,1.988584171,0.161208698,30.38,71.07,2.528691393,2.339368005,-0.000715829,0.030608698,1.8,-1.2,-0.189323387
1.8405,0.0965,28.25,86.9,1.842814424,0.116507177,30.15,85.1,3.076106195,2.822553897,0.002314424,0.020007177,1.9,-1.8,-0.253552298
1.6903,0.0977,28.28,101.65,1.693253543,0.101650515,29.28,99.65,3.594413013,3.403346995,0.002953543,0.003950515,1,-2,-0.191066018
1.8056,0.092,27.73,86.95,1.803011128,0.107166344,29.03,85.65,3.13559322,2.950396142,-0.002588872,0.015166344,1.3,-1.3,-0.185197078
1.815,0.0931,26.95,86.43,1.817849012,0.11015075,29.05,84.93,3.207050093,2.923580034,0.002849012,0.01705075,2.1,-1.5,-0.283470058
1.8465,0.1009,28.03,88.08,1.844656332,0.11967549,30.43,85.48,3.142347485,2.809069997,-0.001843668,0.01877549,2.4,-2.6,-0.333277488
1.7664,0.0998,27.99,95.72,1.763884139,0.10801524,29.99,93.72,3.419792783,3.125041681,-0.002515861,0.00821524,2,-2,-0.294751103
1.8725,0.1128,29.98,86.42,1.875312508,0.127931895,31.18,84.02,2.882588392,2.694676074,0.002812508,0.015131895,1.2,-2.4,-0.187912318
1.8257,0.0922,27.39,83.27,1.822889564,0.108804494,28.39,82.87,3.040160643,2.918985558,-0.002810436,0.016604494,1,-0.4,-0.121175084
1.7654,0.0997,28.49,93.92,1.766142258,0.106676361,29.49,91.92,3.296595297,3.11698881,0.000742258,0.006976361,1,-2,-0.179606487
1.8976,0.1116,30.07,80.4,1.8975682,0.132745092,30.57,79.9,2.673761224,2.613673536,-3.18E-05,0.021145092,0.5,-0.5,-0.060087688
1.8175,0.1029,27.66,88.95,1.815575468,0.111623005,29.76,86.55,3.215835141,2.908266129,-0.001924532,0.008723005,2.1,-2.4,-0.307569012
1.7369,0.0955,27.56,97.03,1.736041666,0.104270228,29.56,95.03,3.520682148,3.214817321,-0.000858334,0.008770228,2,-2,-0.305864827
1.7907,0.0977,26.95,93.38,1.790264082,0.1096219,29.95,90.38,3.464935065,3.01769616,-0.000435918,0.0119219,3,-3,-0.447238905
1.8611,0.1092,29.96,85.71,1.862561546,0.122034623,31.26,85.31,2.860814419,2.729046705,0.001461546,0.012834623,1.3,-0.4,-0.131767714
