wav,n,k
334.8818995,3.203583603,0.21386508
336.8151939,3.181431616,0.188923971
338.7596487,3.158651695,0.166031931
340.7153299,3.13547842,0.145156933
342.6823006,3.112122158,0.126235036
344.6606267,3.088766233,0.109179156
346.6503743,3.065566491,0.09388697
348.6516093,3.042652558,0.080247564
350.6643968,3.020130186,0.068146726
352.6888048,2.998084204,0.05747094
354.7248993,2.976581707,0.048110237
356.7727483,2.955675292,0.039960099
358.8324198,2.935406233,0.032922617
360.9039818,2.915807649,0.026907082
362.9875033,2.896907944,0.021830154
365.0830533,2.878735503,0.017615748
367.1907009,2.861331566,0.014193178
369.3105161,2.844754292,0.011448502
371.4425688,2.828999505,0.009244534
373.5869301,2.814033296,0.007472892
375.7436709,2.799811622,0.006047299
377.9128624,2.786286984,0.004898981
380.0945774,2.773411776,0.003973052
382.2888871,2.761140053,0.003225668
384.4958653,2.749428435,0.002621769
386.7155842,2.738236524,0.002133294
388.9481177,2.727527034,0.001737762
391.1935399,2.717265746,0.001417145
393.4519247,2.707421377,0.001156976
395.7233472,2.697965389,0.00094563
398.0078833,2.688871779,0.000773757
400.3056081,2.680116861,0.000633834
402.6165966,2.671679055,0.000519797
404.9409278,2.663538686,0.000426755
407.2786778,2.655677795,0.00035076
409.6299234,2.64807997,0.00028862
411.9947428,2.640730187,0.000237754
414.3732139,2.633614673,0.000196071
416.7654168,2.626720776,0.000161876
419.1714294,2.620036852,0.000133792
421.5913328,2.613552169,0.000110703
424.025206,2.607256811,9.17E-05
426.4731299,2.601141602,7.60E-05
428.9351867,2.595198032,6.31E-05
431.4114563,2.589418198,5.25E-05
433.9020217,2.583794742,4.36E-05
436.4069659,2.578320807,3.64E-05
438.926371,2.572989985,3.03E-05
441.4603199,2.567796283,2.53E-05
444.0088987,2.562734086,2.11E-05
446.5721894,2.557798123,1.77E-05
449.1502789,2.552983439,1.48E-05
451.7432524,2.548285371,1.24E-05
454.3511947,2.543699523,1.04E-05
456.974192,2.539221746,8.75E-06
459.6123332,2.534848118,7.35E-06
462.2657043,2.530574927,6.19E-06
464.9343934,2.52639866,5.21E-06
467.6184885,2.52231598,4.40E-06
470.3180795,2.518323722,3.71E-06
473.0332556,2.514418878,3.14E-06
475.7641066,2.510598584,2.66E-06
478.5107226,2.506860113,2.25E-06
481.2731947,2.503200868,1.91E-06
484.0516157,2.499618369,1.62E-06
486.8460759,2.496110249,1.37E-06
489.6566691,2.492674245,1.17E-06
492.4834883,2.489308195,9.94E-07
495.3266256,2.486010029,8.47E-07
498.1861781,2.482777763,7.22E-07
501.0622376,2.479609497,6.16E-07
503.9549022,2.476503409,5.27E-07
506.864265,2.473457749,4.50E-07
509.7904249,2.470470839,3.85E-07
512.733477,2.467541064,3.30E-07
515.6935192,2.464666874,2.83E-07
518.6706506,2.461846776,2.43E-07
521.6649692,2.459079334,2.09E-07
524.676574,2.456363164,1.80E-07
527.705565,2.453696936,1.55E-07
530.7520423,2.451079363,1.33E-07
533.8161068,2.448509208,1.15E-07
536.8978615,2.445985276,9.91E-08
539.9974065,2.443506414,8.56E-08
543.1148458,2.441071506,7.40E-08
546.2502814,2.438679478,6.40E-08
549.4038193,2.436329289,5.55E-08
552.5755615,2.434019934,4.81E-08
555.765615,2.43175044,4.17E-08
558.9740849,2.429519866,3.62E-08
562.2010781,2.427327302,3.15E-08
565.4466998,2.425171863,2.74E-08
568.7110598,2.423052697,2.38E-08
571.9942642,2.420968976,2.07E-08
575.296423,2.418919896,1.81E-08
578.6176453,2.416904679,1.58E-08
581.958042,2.41492257,1.38E-08
585.3177221,2.412972838,1.20E-08
588.6967988,2.41105477,1.05E-08
592.0953819,2.409167678,9.21E-09
595.5135855,2.407310889,8.06E-09
598.9515236,2.405483754,7.06E-09
602.4093083,2.40368564,6.19E-09
605.8870555,2.401915932,5.43E-09
609.3848793,2.400174031,4.76E-09
612.9028966,2.398459357,4.18E-09
616.4412235,2.396771343,3.67E-09
619.9999781,2.39510944,3.23E-09
623.5792762,2.393473112,2.84E-09
627.179239,2.391861837,2.49E-09
630.7999844,2.390275109,2.19E-09
634.4416325,2.388712432,1.93E-09
638.1043043,2.387173324,1.70E-09
641.7881208,2.385657318,1.49E-09
645.4932039,2.384163954,1.31E-09
649.2196768,2.382692788,1.15E-09
652.9676625,2.381243385,1.01E-09
656.7372859,2.37981532,8.86E-10
660.5286721,2.378408181,7.76E-10
664.341945,2.377021563,6.79E-10
668.1772328,2.375655073,5.93E-10
672.0346624,2.374308328,5.16E-10
675.9143608,2.372980951,4.49E-10
679.8164571,2.371672576,3.89E-10
683.7410803,2.370382846,3.35E-10
687.6883603,2.369111412,2.87E-10
691.6584293,2.367857931,2.45E-10
695.6514171,2.366622072,2.07E-10
699.6674559,2.365403507,1.73E-10
703.7066807,2.364201918,1.43E-10
707.7692234,2.363016994,1.16E-10
711.8552201,2.36184843,9.15E-11
715.9648049,2.360695928,6.96E-11
720.0981146,2.359559197,4.99E-11
724.2552864,2.358437951,3.22E-11
728.4364583,2.357331913,1.62E-11
732.6417672,2.356240809,1.77E-12
736.8713542,2.355164372,0
741.1253593,2.354102341,0
745.4039226,2.353054459,0
749.707186,2.352020475,0
754.0352936,2.351000146,0
758.3883863,2.349993228,0
762.7666103,2.348999489,0
767.1701105,2.348018695,0
771.5990319,2.347050621,0
776.0535216,2.346095046,0
780.5337276,2.345151752,0
785.0397978,2.344220526,0
789.5718814,2.343301159,0
794.1301303,2.342393446,0
798.7146935,2.341497186,0
803.3257232,2.340612182,0
807.9633732,2.339738241,0
812.6277966,2.338875173,0
817.3191485,2.338022791,0
822.0375838,2.337180914,0
826.7832586,2.336349361,0
831.5563299,2.335527957,0
836.3569567,2.334716528,0
841.185299,2.333914905,0
846.0415139,2.333122922,0
850.9257653,2.332340413,0
855.8382134,2.331567219,0
860.7790211,2.330803182,0
865.7483523,2.330048145,0
870.7463723,2.329301957,0
875.7732459,2.328564468,0
880.8291402,2.327835529,0
885.9142223,2.327114996,0
891.0286611,2.326402727,0
896.1726256,2.325698582,0
901.346287,2.325002421,0
906.5498151,2.324314111,0
911.7833851,2.323633518,0
917.0471679,2.32296051,0
922.3413386,2.322294958,0
927.6660732,2.321636735,0
933.0215477,2.320985717,0
938.4079401,2.32034178,0
943.8254285,2.319704803,0
949.2741919,2.319074667,0
954.7544123,2.318451255,0
960.2662687,2.31783445,0
965.8099472,2.31722414,0
971.3856288,2.31662021,0
976.9934985,2.316022553,0
982.6337443,2.315431057,0
988.3065502,2.314845617,0
994.0121063,2.314266125,0
999.7506007,2.313692479,0
1005.522263,2.313124575,0
