eres,linewidth,imax,width,length,R2
1.6233289171010366,0.073606215823269,6.68799125184531e-16,16.0,56.0,0.9998375744410753
1.6075523100872875,0.0743965830949056,6.996053302295309e-16,16.0,57.0,0.9998309824577992
1.5940323080397036,0.07507838281758561,7.201312552338508e-16,16.0,58.0,0.9998216754262949
1.5785226854461014,0.075908407914108,7.483115926806342e-16,16.0,59.0,0.999809521238712
1.5654027574697142,0.07659059794090008,7.678673666625206e-16,16.0,60.0,0.9997996780917021
1.5502031034221304,0.07742956626703293,7.939361024713384e-16,16.0,61.0,0.9997826673223013
1.5374765884752508,0.0781052881897817,8.126786304036102e-16,16.0,62.0,0.9997710487157933
1.5226149529394526,0.07891589053495887,8.37151545761513e-16,16.0,63.0,0.9997536732889023
1.5102725599530644,0.07957381278101434,8.552495700177569e-16,16.0,64.0,0.9997412048535577
1.4957655184323133,0.08035730806684466,8.783679819254187e-16,16.0,65.0,0.99972262916095
1.6769813630677086,0.07287656920240482,7.955038603612385e-16,17.0,56.0,0.9998312029518008
1.659950368281174,0.07357258355664986,8.324940802630275e-16,17.0,57.0,0.9998332750111235
1.6479863073978194,0.07420660468978425,8.683559444699187e-16,17.0,58.0,0.9998324082633129
1.6313502619466296,0.07498281329813838,9.029217753918463e-16,17.0,59.0,0.9998281780026792
1.6195473149057102,0.0756384445613176,9.362515519639945e-16,17.0,60.0,0.9998228048801597
1.603314140754703,0.07645593574914697,9.686512533860395e-16,17.0,61.0,0.9998138512169684
1.5917104615094357,0.07712041281763593,9.997656919047513e-16,17.0,62.0,0.9998050778946752
1.5758854533517859,0.07794321483235521,1.0303604480753675e-15,17.0,63.0,0.999793912702893
1.564506539296303,0.0786035283125666,1.059592106068186e-15,17.0,64.0,0.9997826487559704
1.5490909852600523,0.07942786891208445,1.0885524312523958e-15,17.0,65.0,0.9997680965209307
1.7231569921520464,0.10481727040520139,6.093796281901579e-16,18.0,56.0,0.994098638912491
1.7034488153334468,0.07430870647196719,9.408534399408495e-16,18.0,57.0,0.9998207846929528
1.6895231022210688,0.08511840402526316,8.123927872192634e-16,18.0,58.0,0.9971220085704999
1.6754182138822262,0.07499217168685991,1.0460412924396445e-15,18.0,59.0,0.9998335291293535
1.6628361994416896,0.07740123369753675,1.0047256183813569e-15,18.0,60.0,0.9992789597622588
1.6478886987511319,0.07608671361003888,1.1419032116742416e-15,18.0,61.0,0.9998330935599071
1.63664679376084,0.07683194417371615,1.13975159080787e-15,18.0,62.0,0.9997275482389701
1.6208133236520321,0.07746427207161431,1.2287686770796277e-15,18.0,63.0,0.9998209192831307
1.610382085629836,0.07790097128607437,1.2439443216197406e-15,18.0,64.0,0.9998060662761034
1.5942342633560111,0.07892636882573467,1.3089835948898904e-15,18.0,65.0,0.9998012604355847
1.784805656175634,0.07441203867914528,9.9749754861354e-16,19.0,56.0,0.9997319219398442
1.7680157082476802,0.07456435379303514,1.0493164660890153e-15,19.0,57.0,0.999773780510429
1.7574496260761496,0.07474762304383951,1.147656900290656e-15,19.0,58.0,0.9997749971329022
1.7412257636995634,0.07500375769696427,1.1993672600882995e-15,19.0,59.0,0.9997964421143838
1.730236425693313,0.07556034731671535,1.288285246607054e-15,19.0,60.0,0.9998019035526099
1.7145132563315975,0.07596345636947135,1.3374482782645129e-15,19.0,61.0,0.9998131752153522
1.7032786937767002,0.07665025750057353,1.4195363510144355e-15,19.0,62.0,0.9998163754876099
1.6880228681616005,0.07715592806316914,1.4655326580531967e-15,19.0,63.0,0.999820809911166
1.6766685136179327,0.07790062588428273,1.542088767470455e-15,19.0,64.0,0.9998197205554512
1.6618631758842421,0.07848084110963138,1.5847340967199269e-15,19.0,65.0,0.9998185370981039
1.798894942453951,0.07686115149663408,1.0158292660011364e-15,20.0,56.0,0.9997178765834083
1.786813846796578,0.07582491586575758,1.1158015591292208e-15,20.0,57.0,0.9997343653301546
1.7721761968338825,0.07591986521167265,1.1981381369164225e-15,20.0,58.0,0.9997681269156823
1.7600642143693506,0.07640387985978873,1.2793297516237458e-15,20.0,59.0,0.9997569792726837
1.7456179078040415,0.07628646194283695,1.3652758098076583e-15,20.0,60.0,0.999787796611752
1.733242258086674,0.07773871782708211,1.428146583137151e-15,20.0,61.0,0.9997716298594528
1.7191499493845614,0.07734275109483724,1.5175693687669264e-15,20.0,62.0,0.9997995410503258
1.706466658251978,0.07884870007589202,1.5742140179845946e-15,20.0,63.0,0.9997870779708966
1.6928660568750649,0.07854721602744229,1.6605223704287173e-15,20.0,64.0,0.9998061563299179
1.6801545589956577,0.07954187460873076,1.7213861567996912e-15,20.0,65.0,0.9997968325724488
1.83843665417086,0.07790834276519767,1.0005937180028766e-15,21.0,56.0,0.9994832066640078
1.8252681188893127,0.07948409782737097,1.1209079208936872e-15,21.0,57.0,0.9995787219402124
1.813097656534473,0.07747091640164243,1.2094482907664126e-15,21.0,58.0,0.9995884609179597
1.7987668296826451,0.07898291334515213,1.321274358426344e-15,21.0,59.0,0.9996737919701032
1.7873372773092797,0.07767754067026159,1.4120814343053892e-15,21.0,60.0,0.9996694570196775
1.7725256951487927,0.07842530528193194,1.5266566878430615e-15,21.0,61.0,0.9997407134516362
1.7614968088531435,0.0781480516346711,1.6084574560272195e-15,21.0,62.0,0.9997277960751496
1.746662397484828,0.0786182320228677,1.7217395978657999e-15,21.0,63.0,0.9997703885410131
