wav,cscat,cabs
400,1.5625e-16,2.03492e-15
401,1.55918e-16,2.03796e-15
402,1.56312e-16,2.04463e-15
403,1.55402e-16,2.04217e-15
404,1.53173e-16,2.0318e-15
405,1.51401e-16,2.02534e-15
406,1.50955e-16,2.02748e-15
407,1.50717e-16,2.03009e-15
408,1.49371e-16,2.02499e-15
409,1.47233e-16,2.0152e-15
410,1.45642e-16,2.00968e-15
411,1.4504e-16,2.01056e-15
412,1.44487e-16,2.01105e-15
413,1.43064e-16,2.00537e-15
414,1.4109e-16,1.99636e-15
415,1.39573e-16,1.99092e-15
416,1.38832e-16,1.99063e-15
417,1.38156e-16,1.99019e-15
418,1.36821e-16,1.98488e-15
419,1.35013e-16,1.97655e-15
420,1.33507e-16,1.9707e-15
421,1.32639e-16,1.96927e-15
422,1.31931e-16,1.96847e-15
423,1.30755e-16,1.964e-15
424,1.29119e-16,1.95638e-15
425,1.27601e-16,1.9499e-15
426,1.26596e-16,1.94717e-15
427,1.25862e-16,1.94606e-15
428,1.24862e-16,1.94262e-15
429,1.23421e-16,1.93591e-15
430,1.21903e-16,1.92887e-15
431,1.20741e-16,1.92459e-15
432,1.19928e-16,1.92274e-15
433,1.19065e-16,1.92015e-15
434,1.17841e-16,1.91466e-15
435,1.16379e-16,1.90746e-15
436,1.15061e-16,1.90155e-15
437,1.14085e-16,1.89824e-15
438,1.13256e-16,1.8958e-15
439,1.12232e-16,1.89159e-15
440,1.10904e-16,1.88494e-15
441,1.09496e-16,1.8778e-15
442,1.08298e-16,1.87243e-15
443,1.07353e-16,1.86897e-15
444,1.06429e-16,1.86544e-15
445,1.05281e-16,1.85991e-15
446,1.03904e-16,1.85252e-15
447,1.02522e-16,1.84521e-15
448,1.01341e-16,1.8396e-15
449,1.00339e-16,1.83537e-15
450,9.93073e-17,1.83067e-15
451,9.80688e-17,1.82409e-15
452,9.66527e-17,1.81601e-15
453,9.52507e-17,1.80813e-15
454,9.40187e-17,1.80175e-15
455,9.29282e-17,1.79648e-15
456,9.18069e-17,1.79077e-15
457,9.05141e-17,1.78341e-15
458,8.90726e-17,1.7747e-15
459,8.76371e-17,1.76609e-15
460,8.63421e-17,1.75876e-15
461,8.51797e-17,1.75254e-15
462,8.40185e-17,1.74618e-15
463,8.27342e-17,1.73852e-15
464,8.1324e-17,1.72961e-15
465,7.99036e-17,1.72057e-15
466,7.85981e-17,1.71261e-15
467,7.74334e-17,1.70593e-15
468,7.63228e-17,1.69963e-15
469,7.51536e-17,1.69258e-15
470,7.38906e-17,1.68442e-15
471,7.26049e-17,1.67591e-15
472,7.14092e-17,1.66818e-15
473,7.03628e-17,1.66186e-15
474,6.94286e-17,1.65655e-15
475,6.8514e-17,1.65125e-15
476,6.7556e-17,1.64524e-15
477,6.65754e-17,1.63869e-15
478,6.5658e-17,1.63252e-15
479,6.48834e-17,1.62761e-15
480,6.42642e-17,1.62416e-15
481,6.37427e-17,1.62152e-15
482,6.32447e-17,1.61882e-15
483,6.2743e-17,1.61562e-15
484,6.22785e-17,1.61228e-15
485,6.19266e-17,1.60964e-15
486,6.17375e-17,1.60832e-15
487,6.17002e-17,1.60829e-15
488,6.17552e-17,1.60887e-15
489,6.18439e-17,1.60926e-15
490,6.19537e-17,1.60912e-15
491,6.21254e-17,1.60876e-15
492,6.24186e-17,1.60886e-15
493,6.28652e-17,1.60989e-15
494,6.34447e-17,1.61174e-15
495,6.40995e-17,1.61377e-15
496,6.47764e-17,1.61521e-15
497,6.54619e-17,1.61566e-15
498,6.61868e-17,1.61531e-15
499,6.69978e-17,1.61468e-15
500,6.79184e-17,1.6142e-15
501,6.89282e-17,1.61386e-15
502,6.99731e-17,1.61315e-15
503,7.09996e-17,1.61137e-15
504,7.19861e-17,1.60807e-15
505,7.29515e-17,1.6033e-15
506,7.39352e-17,1.59748e-15
507,7.49643e-17,1.59113e-15
508,7.60306e-17,1.58446e-15
509,7.70925e-17,1.57726e-15
510,7.80996e-17,1.569e-15
511,7.90233e-17,1.55926e-15
512,7.98718e-17,1.54793e-15
513,8.06816e-17,1.53533e-15
514,8.14912e-17,1.52202e-15
515,8.23153e-17,1.50846e-15
516,8.31357e-17,1.49477e-15
517,8.39136e-17,1.48072e-15
518,8.4616e-17,1.46592e-15
519,8.52374e-17,1.45011e-15
520,8.58042e-17,1.4334e-15
521,8.63604e-17,1.41617e-15
522,8.6942e-17,1.39896e-15
523,8.75583e-17,1.38216e-15
524,8.81898e-17,1.36584e-15
525,8.88031e-17,1.34977e-15
526,8.93748e-17,1.33361e-15
527,8.99076e-17,1.31715e-15
528,9.04318e-17,1.30046e-15
529,9.09893e-17,1.28388e-15
530,9.16119e-17,1.26787e-15
531,9.23059e-17,1.25273e-15
532,9.30505e-17,1.23852e-15
533,9.38131e-17,1.22502e-15
534,9.45691e-17,1.2119e-15
535,9.53181e-17,1.19888e-15
536,9.60846e-17,1.18595e-15
537,9.69061e-17,1.17334e-15
538,9.78131e-17,1.16139e-15
539,9.88139e-17,1.15041e-15
540,9.98911e-17,1.14047e-15
541,1.01013e-16,1.13142e-15
542,1.02149e-16,1.12295e-15
543,1.03291e-16,1.11476e-15
544,1.04453e-16,1.10672e-15
545,1.05669e-16,1.09889e-15
546,1.06971e-16,1.09155e-15
547,1.08378e-16,1.08498e-15
548,1.09881e-16,1.07937e-15
549,1.11456e-16,1.07468e-15
550,1.13068e-16,1.0707e-15
551,1.14697e-16,1.06714e-15
552,1.16343e-16,1.06374e-15
553,1.18029e-16,1.06044e-15
554,1.19788e-16,1.05734e-15
555,1.2165e-16,1.0547e-15
556,1.23624e-16,1.05275e-15
557,1.25698e-16,1.0516e-15
558,1.27843e-16,1.05118e-15
559,1.30026e-16,1.05128e-15
560,1.3223e-16,1.05161e-15
561,1.34457e-16,1.05194e-15
562,1.36731e-16,1.05219e-15
563,1.39086e-16,1.05246e-15
564,1.41549e-16,1.05294e-15
565,1.44131e-16,1.05383e-15
566,1.46821e-16,1.05525e-15
567,1.4959e-16,1.05716e-15
568,1.52409e-16,1.05938e-15
569,1.55258e-16,1.06168e-15
570,1.58139e-16,1.06386e-15
571,1.61073e-16,1.06585e-15
572,1.64096e-16,1.0677e-15
573,1.67239e-16,1.06962e-15
574,1.70523e-16,1.07184e-15
575,1.73945e-16,1.07454e-15
576,1.77484e-16,1.07778e-15
577,1.81112e-16,1.0815e-15
578,1.84806e-16,1.08556e-15
579,1.88558e-16,1.08978e-15
580,1.92383e-16,1.09405e-15
581,1.9631e-16,1.09838e-15
582,2.00376e-16,1.10291e-15
583,2.04609e-16,1.10783e-15
584,2.09021e-16,1.11335e-15
585,2.13601e-16,1.11961e-15
586,2.18326e-16,1.12662e-15
587,2.23165e-16,1.13429e-15
588,2.28099e-16,1.14246e-15
589,2.33123e-16,1.15098e-15
590,2.38255e-16,1.15973e-15
591,2.43527e-16,1.16872e-15
592,2.48973e-16,1.17805e-15
593,2.54621e-16,1.18788e-15
594,2.60481e-16,1.19837e-15
595,2.66543e-16,1.20961e-15
596,2.72785e-16,1.22162e-15
597,2.79176e-16,1.2343e-15
598,2.85696e-16,1.24748e-15
599,2.92343e-16,1.261e-15
600,2.99134e-16,1.27475e-15
601,3.06102e-16,1.28867e-15
602,3.1329e-16,1.30285e-15
603,3.20733e-16,1.31739e-15
604,3.28457e-16,1.33244e-15
605,3.36465e-16,1.34813e-15
606,3.44747e-16,1.36451e-15
607,3.53286e-16,1.38154e-15
608,3.62066e-16,1.39913e-15
609,3.71086e-16,1.41717e-15
610,3.80366e-16,1.43557e-15
611,3.89943e-16,1.45431e-15
612,3.99867e-16,1.47344e-15
613,4.1019e-16,1.49312e-15
614,4.20953e-16,1.51351e-15
615,4.3218e-16,1.53481e-15
616,4.43878e-16,1.55716e-15
617,4.56035e-16,1.58063e-15
618,4.68637e-16,1.60523e-15
619,4.81673e-16,1.63092e-15
620,4.95145e-16,1.65763e-15
621,5.09078e-16,1.68531e-15
622,5.23512e-16,1.71398e-15
623,5.385e-16,1.74371e-15
624,5.54097e-16,1.77463e-15
625,5.70346e-16,1.80692e-15
626,5.87274e-16,1.84073e-15
627,6.0489e-16,1.8762e-15
628,6.23187e-16,1.9134e-15
629,6.42152e-16,1.95231e-15
630,6.61776e-16,1.9929e-15
631,6.82065e-16,2.03508e-15
632,7.03046e-16,2.07877e-15
633,7.24766e-16,2.12394e-15
634,7.47294e-16,2.17061e-15
635,7.70702e-16,2.21885e-15
636,7.95066e-16,2.26876e-15
637,8.20449e-16,2.32049e-15
638,8.46903e-16,2.37413e-15
639,8.74468e-16,2.42978e-15
640,9.03181e-16,2.48748e-15
641,9.33082e-16,2.54725e-15
642,9.6423e-16,2.60909e-15
643,9.96709e-16,2.67302e-15
644,1.03063e-15,2.73911e-15
645,1.06613e-15,2.80747e-15
646,1.10337e-15,2.87832e-15
647,1.14252e-15,2.9519e-15
648,1.18374e-15,3.02853e-15
649,1.22719e-15,3.10853e-15
650,1.27302e-15,3.19223e-15
651,1.32137e-15,3.27994e-15
652,1.37237e-15,3.37193e-15
653,1.42617e-15,3.46846e-15
654,1.48294e-15,3.5698e-15
655,1.54286e-15,3.67621e-15
656,1.60618e-15,3.78803e-15
657,1.67316e-15,3.90563e-15
658,1.74411e-15,4.02946e-15
659,1.81933e-15,4.16003e-15
660,1.89914e-15,4.29789e-15
661,1.98386e-15,4.4436e-15
662,2.0738e-15,4.59774e-15
663,2.16924e-15,4.76088e-15
664,2.27049e-15,4.93354e-15
665,2.37785e-15,5.11624e-15
666,2.49161e-15,5.30947e-15
667,2.61212e-15,5.51373e-15
668,2.73975e-15,5.72949e-15
669,2.87489e-15,5.95729e-15
670,3.01795e-15,6.19762e-15
671,3.16934e-15,6.45098e-15
672,3.32946e-15,6.71786e-15
673,3.49864e-15,6.99863e-15
674,3.67717e-15,7.29358e-15
675,3.86524e-15,7.60286e-15
676,4.06295e-15,7.9264e-15
677,4.27026e-15,8.26392e-15
678,4.48703e-15,8.61489e-15
679,4.71292e-15,8.97846e-15
680,4.94745e-15,9.35345e-15
681,5.18991e-15,9.73829e-15
682,5.43932e-15,1.01309e-14
683,5.6944e-15,1.05288e-14
684,5.95353e-15,1.09289e-14
685,6.21464e-15,1.13272e-14
686,6.47525e-15,1.17195e-14
687,6.73244e-15,1.21006e-14
688,6.98284e-15,1.24649e-14
689,7.22276e-15,1.28062e-14
