eres,linewidth,imax,width,length,R2
1.6742641418009498,0.06951099116792862,7.585165802385136e-16,16.0,56.0,0.9998437998972803
1.6602106203556368,0.06976406866525833,8.037021911424329e-16,16.0,57.0,0.9998494873379474
1.6474020446745572,0.07015331649025118,8.32732104501231e-16,16.0,58.0,0.9998469479061468
1.6335769601986658,0.07064905544577915,8.734675981375715e-16,16.0,59.0,0.9998426614184798
1.6211527518468654,0.07114927241635342,9.005127576736863e-16,16.0,60.0,0.9998344860273983
1.607567119378757,0.07171430189599745,9.37991590206478e-16,16.0,61.0,0.9998260477532723
1.5955186823154648,0.07222564755763133,9.63887675501592e-16,16.0,62.0,0.9998174050169455
1.5822074753443531,0.07282288081979012,9.987192232691373e-16,16.0,63.0,0.9998036301902851
1.5705284153385441,0.07333727490652707,1.0236683126785727e-15,16.0,64.0,0.999793211683201
1.5575171197849937,0.07392642225716337,1.056497162820463e-15,16.0,65.0,0.9997772502094308
1.7084927862411559,0.06928998259855873,9.41699246143078e-16,17.0,57.0,0.9998368061187887
1.6976396290045195,0.06969760063605344,9.919491121797547e-16,17.0,58.0,0.9998426961515714
1.6823516364631796,0.07014719192838968,1.039727420763782e-15,17.0,59.0,0.9998445111712485
1.6715902961993083,0.07059619571355197,1.0868366014239592e-15,17.0,60.0,0.9998440151702052
1.6566777157191253,0.07111830875534897,1.1321956370240766e-15,17.0,61.0,0.9998416028791192
1.646060652643274,0.07159147707966824,1.1764508637549606e-15,17.0,62.0,0.9998367483510918
1.6315277359454818,0.07215879030064647,1.219489519556541e-15,17.0,63.0,0.9998305272175227
1.6210907036632982,0.07264406381142999,1.261198277048041e-15,17.0,64.0,0.9998225764757996
1.606938010006354,0.07323362215212414,1.3021420545296562e-15,17.0,65.0,0.9998131019147916
1.7814030735655402,0.07896781306171843,8.005852997160384e-16,18.0,56.0,0.9971204872709314
1.7518063234153438,0.07042942696930496,1.0242594756510162e-15,18.0,57.0,0.9998041492692732
1.7519012229410593,0.0965436053283781,7.760578957279753e-16,18.0,58.0,0.9945595412340531
1.7264833890148283,0.07116490098745061,1.1609136962282822e-15,18.0,59.0,0.9998185520193037
1.7167830213137723,0.09684212951190652,8.748568704861325e-16,18.0,60.0,0.9952368935531971
1.7012691077862654,0.07170464840157079,1.2943752713830023e-15,18.0,61.0,0.9998326868159182
1.6886139033036893,0.08054356867304305,1.1334925505922315e-15,18.0,62.0,0.9977298889645414
1.6765196010305388,0.0721719853123209,1.4240139026096634e-15,18.0,63.0,0.9998386086750878
1.665067214142236,0.07444975411872784,1.3641648830592314e-15,18.0,64.0,0.9993277912959664
1.6522648788506498,0.07294663838875927,1.5440307243229043e-15,18.0,65.0,0.9998337164009117
1.8267574368761135,0.07297223590342664,1.023884182384704e-15,19.0,56.0,0.9996748440954657
1.8108996371934039,0.07390370001463531,1.0703118007751518e-15,19.0,57.0,0.999709302154629
1.8020669305418884,0.07224004755329339,1.2199432960485368e-15,19.0,58.0,0.9997361219304545
1.7866332640221534,0.07248934068904132,1.2772509386559475e-15,19.0,59.0,0.9997783143926716
1.777409001589474,0.07201593849772231,1.4125536400943294e-15,19.0,60.0,0.999780355134474
1.7625492647144232,0.0720885094189536,1.4754636530845836e-15,19.0,61.0,0.9998056673790973
1.7529207767779493,0.07226117365605907,1.5971530928781584e-15,19.0,62.0,0.9998080593428694
1.7385836446187717,0.07242230029407729,1.6600709515191613e-15,19.0,63.0,0.9998214742160556
1.728679141315523,0.07282559609217025,1.772284139634159e-15,19.0,64.0,0.9998241442748944
1.7148095008731925,0.07309145840775988,1.8329699579868194e-15,19.0,65.0,0.9998303108235845
1.8430043962861733,0.07717280190520054,1.003444734579039e-15,20.0,56.0,0.9995364128120308
1.8311681624646587,0.07489035585419784,1.123046840641855e-15,20.0,57.0,0.999671018460657
1.8185407537729195,0.07567800458032473,1.2180529520124524e-15,20.0,58.0,0.9996679943549478
1.8073362617823412,0.0736981796638852,1.349811341848118e-15,20.0,59.0,0.9997309307961283
1.7942976933196049,0.07406432098405974,1.4473589108282195e-15,20.0,60.0,0.9997536195600945
1.783409000915305,0.07332321526033485,1.568837197904392e-15,20.0,61.0,0.9997679241473302
1.7704375012853508,0.07333958573858425,1.6722145372902977e-15,20.0,62.0,0.9997908264633041
1.7595643749766023,0.0736770964604047,1.7741014581595148e-15,20.0,63.0,0.9997864568034381
1.7467966700666104,0.07352567915959476,1.881606185690252e-15,20.0,64.0,0.9998074157659628
1.735799334967616,0.07457660839379057,1.964483185517445e-15,20.0,65.0,0.9997947280716052
1.875154994462913,0.07999058910137721,9.344357158522376e-16,21.0,56.0,0.9991554097380715
1.8657253995693694,0.07935699668113351,1.1156600595954122e-15,21.0,57.0,0.9995295370257448
1.8533045543372706,0.07645588423533925,1.2031345876739677e-15,21.0,58.0,0.9994833186006595
1.842311104631698,0.07721539404715345,1.3654717013744625e-15,21.0,59.0,0.9995931672399382
1.8306873481597215,0.07524303227348463,1.4670683964005627e-15,21.0,60.0,0.9995906388954113
1.8185656116371542,0.0766581260174935,1.6104790977496588e-15,21.0,61.0,0.9996496685764247
1.807640020149967,0.07492604254840894,1.7254791935706609e-15,21.0,62.0,0.9996637990663954
1.7947735260989868,0.07604878397764675,1.8640283201871998e-15,21.0,63.0,0.9997212963945402
1.784447432882472,0.07500583433690809,1.9783162135476227e-15,21.0,64.0,0.9997212871092994
1.7713373648073987,0.07548746837227055,2.1220874202364747e-15,21.0,65.0,0.9997687480220482
1.9004008328944044,0.08721782372110397,9.324657374678434e-16,22.0,56.0,0.9991554369493865
1.8823550464046772,0.08546353000754085,9.925054974442234e-16,22.0,57.0,0.9991083859806528
1.877916986114962,0.0810460417256009,1.2163160684145542e-15,22.0,58.0,0.9994663128111659
1.8609844939782283,0.0797532362067421,1.2998114085685185e-15,22.0,59.0,0.9994926996637604
1.8551158802562575,0.0790200865245762,1.4949270084220973e-15,22.0,60.0,0.9995436087506722
1.8390554156260135,0.07746983987543472,1.6060180157653712e-15,22.0,61.0,0.9996051053724577
1.831874877429638,0.07809153816227918,1.7755438268557954e-15,22.0,62.0,0.9996262882841901
1.8167150204303175,0.0764501331915549,1.909092967298419e-15,22.0,63.0,0.9996712130843012
1.8086249931292366,0.07737087996857081,2.0628214441572575e-15,22.0,64.0,0.9996941959897584
1.794234786785517,0.07614408132992109,2.204316045720454e-15,22.0,65.0,0.999716877591326
1.9404924130069878,0.11318788994260334,7.036497005026479e-16,23.0,56.0,0.9970090968936705
1.9242705476268702,0.11388010274600217,7.571369269847995e-16,23.0,57.0,0.9966631658636731
1.9154396764771924,0.10124531497316103,9.548680699880046e-16,23.0,58.0,0.9982251185445931
1.9010060642518902,0.09622996371626309,1.0707837022515285e-15,23.0,59.0,0.9983316179334052
1.8929223189599755,0.08941632867610963,1.291415031574511e-15,23.0,60.0,0.9990954419553459
1.8800014354108894,0.085560820581648,1.4456102311116803e-15,23.0,61.0,0.9992401930987627
1.871722134825975,0.08292650903733759,1.660266230066118e-15,23.0,62.0,0.9994728679105794
1.8593513643343973,0.08078719549235461,1.830813061492863e-15,23.0,63.0,0.999525406051347
1.8504697080813128,0.08051724101897666,2.020497565822058e-15,23.0,64.0,0.9995577252931273
1.838294784390918,0.07911001612617621,2.20211337826484e-15,23.0,65.0,0.9996007044433916
1.944455039020428,0.14597215963408672,5.630216867836458e-16,24.0,56.0,0.9898778025194798
1.9350748818244716,0.12221029505816466,7.516666539422889e-16,24.0,57.0,0.9955491352405251
1.9153948310592206,0.11886171691853287,8.103600102718002e-16,24.0,58.0,0.9938101936473465
1.908921761128796,0.10432971407799024,1.0418195015380123e-15,24.0,59.0,0.9972072442650437
1.8928765910175416,0.09712915787437557,1.1688792060827734e-15,24.0,60.0,0.9973478608507035
1.8867716554726865,0.09011291614005253,1.4248784131707585e-15,24.0,61.0,0.9987269626127351
1.8727181686552212,0.08652913414216641,1.5748002334388137e-15,24.0,62.0,0.9989638727574278
1.865970812427021,0.08360427986501517,1.827031735477025e-15,24.0,63.0,0.9993603389767342
1.852460290804412,0.0823467449886793,1.979628507122288e-15,24.0,64.0,0.9994196304327265
1.844878124039065,0.08141942798193127,2.2127863379024714e-15,24.0,65.0,0.9995269109146121
1.725680576836903,0.08140884490737921,4.152046039194894e-15,24.0,76.0,0.9997493780640275
1.696074785838623,0.08266695370137715,4.610062750950954e-15,24.0,79.0,0.9997470739580478
1.6644102705480928,0.08421704514673807,5.019673036193341e-15,24.0,82.0,0.9997284202600842
1.6360219004999952,0.08562192398156207,5.4119639508453565e-15,24.0,85.0,0.9997025771798912
1.6060879932678844,0.08714803641484345,5.777695058858242e-15,24.0,88.0,0.9996659172248823
1.5791559758646332,0.08856627919522721,6.120785000051345e-15,24.0,91.0,0.9996237703226399
1.5510130681792018,0.08996792930149915,6.455938386131965e-15,24.0,94.0,0.9995778856993444
1.5256247508357643,0.09122077616271927,6.771400887591168e-15,24.0,97.0,0.9995314946744907
1.4992481653198153,0.09242889137170542,7.089188746686598e-15,24.0,100.0,0.9994863046192834
1.4754119727830173,0.09348065170245472,7.390258501274592e-15,24.0,103.0,0.9994461432204329
1.450736252840991,0.09448841783088573,7.699965059442275e-15,24.0,106.0,0.9994124677152973
1.428405147926987,0.09536280111643987,7.994470776926136e-15,24.0,109.0,0.9993890822703154
1.405335754847131,0.09622064071250161,8.301287560851192e-15,24.0,112.0,0.999378686609146
1.384425888133237,0.09699953502757043,8.59023041492808e-15,24.0,115.0,0.9993830239489805
1.989728623551171,0.1134387999418803,6.917668701012908e-16,25.0,56.0,0.9959199717116691
1.9710821137381624,0.1597626698945002,5.365662091527809e-16,25.0,57.0,0.9925195616903918
1.9677126332449588,0.11352406293241239,8.652387245258383e-16,25.0,58.0,0.9957839199364085
1.943657612647011,0.13859892022410736,7.403720954322096e-16,25.0,59.0,0.9951192225548869
1.94344273876263,0.114775853757367,1.0594990026810638e-15,25.0,60.0,0.9963098957185387
1.9200357169419793,0.11793189681441374,1.0345166838497792e-15,25.0,61.0,0.9972508780556868
1.9179111447901473,0.1097948865579888,1.3312072108471813e-15,25.0,62.0,0.9973883554357572
1.898762912174386,0.10361346750641062,1.408283769182898e-15,25.0,63.0,0.998578735525188
1.8941316456334178,0.09842879671133246,1.731167593611893e-15,25.0,64.0,0.9983933699281856
1.8782878005520125,0.09371575914660156,1.854493182185437e-15,25.0,65.0,0.9991745027083293
1.8138555937716434,0.08556822331482244,4.0625824806948904e-15,26.0,74.0,0.9995920283971363
1.7935886664972958,0.08560351949412574,4.5317700254117845e-15,26.0,76.0,0.9996379051751767
1.7734178544204517,0.08587477849829454,4.985301150689884e-15,26.0,78.0,0.9996693017098082
1.7611517528439757,0.08620860019555007,5.219198897229837e-15,26.0,79.0,0.9996778515789871
1.7534181340763528,0.0863675299227342,5.419064595931481e-15,26.0,80.0,0.9996890056035406
1.7336226933117325,0.08709136750883832,5.8290714944405466e-15,26.0,82.0,0.9996980956850382
1.7140411116291623,0.0879951491746679,6.215336286048342e-15,26.0,84.0,0.9996978160508044
1.7022913955943042,0.08843203066190038,6.417733310342051e-15,26.0,85.0,0.9996936527839297
1.6946909518781228,0.08898383023411399,6.581638363113667e-15,26.0,86.0,0.999689735673407
1.6756025559067669,0.08998483266492398,6.932008679850542e-15,26.0,88.0,0.9996757796338126
1.645721624552704,0.09145947047292032,7.44315179534457e-15,26.0,91.0,0.9996471903207513
1.6201441922866844,0.09296538910159952,7.901514944509443e-15,26.0,94.0,0.9996110227431753
1.5918483398930616,0.0944582062224556,8.35259576720634e-15,26.0,97.0,0.9995650097293587
1.5675447750568179,0.09582267964578758,8.773400881485427e-15,26.0,100.0,0.9995206600484878
1.540854509231622,0.09715490929463648,9.189943679837877e-15,26.0,103.0,0.9994684434092438
1.517866185238941,0.09833395549935278,9.588018974376708e-15,26.0,106.0,0.9994242355843391
1.4927627357850666,0.09945763699316026,9.987008945887541e-15,26.0,109.0,0.9993770810426601
1.4710776472187927,0.10044550431845913,1.0373463702988671e-14,26.0,112.0,0.9993421148849504
1.447500704755257,0.10137681525475466,1.0761998310765442e-14,26.0,115.0,0.999310295528997
1.857895069998723,0.09224454739391369,3.961764089673058e-15,28.0,74.0,0.9993958971245294
1.839029700078924,0.09039621193539203,4.593227406289667e-15,28.0,76.0,0.9994899223018167
1.8199772279084885,0.08990655580989815,5.190027522246986e-15,28.0,78.0,0.9995385551192824
1.8110947561301227,0.09068775410707634,5.467770047561522e-15,28.0,79.0,0.9995389151107269
1.800830191903141,0.08999519702665103,5.759073293364182e-15,28.0,80.0,0.9995757050141323
1.7816976312565833,0.09045134421165898,6.299768959383622e-15,28.0,82.0,0.9996027067306699
1.7626386486931338,0.09116709055328218,6.8117820080172605e-15,28.0,84.0,0.9996207150551633
1.7534088209388856,0.09174273986822107,7.063047296481074e-15,28.0,85.0,0.9996274144316769
1.7437029664597798,0.09204083552170121,7.297305094285924e-15,28.0,86.0,0.9996307336559045
1.7249346923341913,0.09301435568080997,7.758409631423647e-15,28.0,88.0,0.9996330096127588
1.6973203756351856,0.09462888080651352,8.418653070685465e-15,28.0,91.0,0.9996217102153387
1.6699121012844909,0.09618641691032602,9.01788436842143e-15,28.0,94.0,0.9995977846750711
1.6433521482406093,0.09776031725400096,9.603300356478528e-15,28.0,97.0,0.9995640546230808
1.6172353914798856,0.09927664303207424,1.013912238121625e-14,28.0,100.0,0.9995232938993914
1.5919057382949164,0.10076545067629951,1.066761069361751e-14,28.0,103.0,0.9994762209286566
1.567139363892061,0.10214064391934895,1.116202671669303e-14,28.0,106.0,0.9994271290289476
1.5430924691364336,0.10344717472343941,1.1656127568198435e-14,28.0,109.0,0.9993762822465909
1.5196793573788814,0.10462718797254393,1.21276173114262e-14,28.0,112.0,0.9993287698256147
1.4969222145576333,0.10572649382821599,1.2600016483527215e-14,28.0,115.0,0.9992841247070389
1.9015431338203166,0.10449065930912947,3.617825578774112e-15,30.0,74.0,0.9987883857779276
1.883516330784141,0.09910232425122453,4.365825954562622e-15,30.0,76.0,0.99914102537312
1.8655765280028413,0.09635243166922572,5.10624068482939e-15,30.0,78.0,0.9992996111208358
