Wavelength,n,k
529.323486,2.056072,0.006405
530.904175,2.055132,0.00635
532.484802,2.054198,0.006295
534.06543,2.053271,0.006242
535.645996,2.052349,0.006189
537.22644,2.051434,0.006138
538.806946,2.050524,0.006088
540.387329,2.049621,0.006038
541.967712,2.048723,0.00599
543.548035,2.047831,0.005943
545.128296,2.046944,0.005897
546.708557,2.046063,0.005851
548.288696,2.045187,0.005807
549.868774,2.044317,0.005764
551.448853,2.043451,0.005721
553.028931,2.04259,0.005679
554.608826,2.041735,0.005639
556.188782,2.040884,0.005599
557.768677,2.040038,0.00556
559.34845,2.039196,0.005521
560.928223,2.03836,0.005484
562.507935,2.037527,0.005447
564.087524,2.036699,0.005411
565.667114,2.035876,0.005376
567.246704,2.035056,0.005342
568.826172,2.034241,0.005308
570.40564,2.03343,0.005276
571.984985,2.032623,0.005243
573.564331,2.03182,0.005212
575.143555,2.031021,0.005181
576.722778,2.030225,0.005151
578.30188,2.029433,0.005122
579.880981,2.028645,0.005093
581.460083,2.027861,0.005065
583.039001,2.02708,0.005038
584.617981,2.026302,0.005011
586.196838,2.025528,0.004985
587.775635,2.024757,0.004959
589.35437,2.02399,0.004934
590.933044,2.023226,0.00491
592.511658,2.022465,0.004886
594.09021,2.021707,0.004863
595.668701,2.020952,0.00484
597.247192,2.0202,0.004818
598.825562,2.019451,0.004797
600.40387,2.018704,0.004776
601.982056,2.017961,0.004755
603.560303,2.01722,0.004735
605.138428,2.016483,0.004716
606.716431,2.015748,0.004697
608.294495,2.015015,0.004679
609.872437,2.014285,0.004661
611.450317,2.013558,0.004643
613.028076,2.012833,0.004626
614.605835,2.012111,0.00461
616.183472,2.011391,0.004594
617.761108,2.010673,0.004578
619.338623,2.009958,0.004563
620.916138,2.009244,0.004548
622.49353,2.008534,0.004534
624.070862,2.007825,0.00452
625.648132,2.007118,0.004507
627.225342,2.006414,0.004494
628.802429,2.005712,0.004482
630.379517,2.005011,0.004469
631.956482,2.004313,0.004458
633.533447,2.003617,0.004446
635.110291,2.002922,0.004435
636.687073,2.00223,0.004425
638.263794,2.001539,0.004415
639.840454,2.00085,0.004405
641.416992,2.000163,0.004396
642.993469,1.999477,0.004387
644.569946,1.998794,0.004378
646.14624,1.998112,0.00437
647.722534,1.997431,0.004362
649.298706,1.996753,0.004354
650.874878,1.996075,0.004347
652.450928,1.9954,0.00434
654.026917,1.994726,0.004334
655.602783,1.994053,0.004327
657.178589,1.993382,0.004321
658.754395,1.992712,0.004316
660.330078,1.992044,0.004311
661.90564,1.991377,0.004306
663.481201,1.990711,0.004301
665.056641,1.990047,0.004297
666.631958,1.989384,0.004293
668.207275,1.988722,0.004289
669.782471,1.988061,0.004286
671.357605,1.987402,0.004283
672.932678,1.986744,0.00428
674.50769,1.986087,0.004278
676.082581,1.985431,0.004275
677.657349,1.984776,0.004273
679.232056,1.984123,0.004272
680.806763,1.98347,0.00427
682.381287,1.982819,0.004269
683.955811,1.982168,0.004269
685.530212,1.981519,0.004268
687.104553,1.98087,0.004268
688.678772,1.980222,0.004268
690.25293,1.979576,0.004268
691.827026,1.97893,0.004269
693.401001,1.978285,0.00427
694.974915,1.977641,0.004271
696.548706,1.976998,0.004272
698.122437,1.976356,0.004274
699.696106,1.975714,0.004275
701.269653,1.975073,0.004278
702.84314,1.974433,0.00428
704.416565,1.973794,0.004282
705.989868,1.973155,0.004285
707.563049,1.972518,0.004288
709.136169,1.971881,0.004292
710.709229,1.971244,0.004295
712.282166,1.970608,0.004299
713.855042,1.969973,0.004303
715.427856,1.969339,0.004307
717.000488,1.968705,0.004311
718.57312,1.968071,0.004316
720.14563,1.967439,0.004321
721.718018,1.966806,0.004326
723.290344,1.966175,0.004332
724.862549,1.965544,0.004337
726.434692,1.964913,0.004343
728.006714,1.964283,0.004349
729.578735,1.963653,0.004355
731.150574,1.963024,0.004361
732.72229,1.962395,0.004368
734.294006,1.961766,0.004375
735.865601,1.961138,0.004382
737.437073,1.960511,0.004389
739.008484,1.959884,0.004397
740.579773,1.959257,0.004404
742.151001,1.95863,0.004412
743.722046,1.958004,0.00442
745.293091,1.957378,0.004428
746.864014,1.956753,0.004437
748.434814,1.956128,0.004446
750.005493,1.955503,0.004454
751.576172,1.954878,0.004463
753.146667,1.954254,0.004473
754.717102,1.95363,0.004482
756.287476,1.953006,0.004492
757.857666,1.952382,0.004502
759.427795,1.951759,0.004512
760.997803,1.951135,0.004522
762.567749,1.950512,0.004532
764.137573,1.949889,0.004543
765.707336,1.949266,0.004553
767.276917,1.948644,0.004564
768.846436,1.948021,0.004575
770.415894,1.947399,0.004587
771.985229,1.946777,0.004598
773.554382,1.946155,0.00461
775.123535,1.945533,0.004622
776.692505,1.944911,0.004634
778.261414,1.944289,0.004646
779.8302,1.943667,0.004658
781.398926,1.943045,0.004671
782.967529,1.942423,0.004683
784.536011,1.941802,0.004696
786.10437,1.94118,0.004709
787.672668,1.940558,0.004723
789.240845,1.939937,0.004736
790.808899,1.939315,0.00475
792.376831,1.938693,0.004763
793.944702,1.938072,0.004777
795.512451,1.93745,0.004791
797.080078,1.936828,0.004806
798.647583,1.936206,0.00482
800.214966,1.935584,0.004835
801.782349,1.934962,0.004849
803.349487,1.93434,0.004864
804.916626,1.933718,0.004879
806.483582,1.933096,0.004895
808.050415,1.932473,0.00491
809.617188,1.931851,0.004926
811.183838,1.931228,0.004941
812.750366,1.930605,0.004957
814.316772,1.929982,0.004973
815.883057,1.929359,0.004989
817.44928,1.928736,0.005006
819.01532,1.928113,0.005022
820.58136,1.927489,0.005039
822.147156,1.926865,0.005056
823.712891,1.926241,0.005073
825.278503,1.925617,0.00509
826.844055,1.924993,0.005107
828.409363,1.924368,0.005125
829.974731,1.923744,0.005143
831.539856,1.923119,0.00516
833.104858,1.922493,0.005178
834.6698,1.921868,0.005196
836.23468,1.921242,0.005215
837.799316,1.920616,0.005233
839.363892,1.91999,0.005252
840.928345,1.919363,0.00527
842.492676,1.918736,0.005289
844.056946,1.918109,0.005308
845.620972,1.917482,0.005327
847.184937,1.916854,0.005347
848.74884,1.916226,0.005366
850.312622,1.915598,0.005386
851.87616,1.914969,0.005406
853.439636,1.91434,0.005426
855.003052,1.913711,0.005446
856.566284,1.913081,0.005466
858.129395,1.912451,0.005486
859.692383,1.911821,0.005507
861.255249,1.91119,0.005528
862.818054,1.910559,0.005548
864.380676,1.909928,0.005569
865.943237,1.909296,0.005591
867.505554,1.908664,0.005612
869.067871,1.908031,0.005633
870.630005,1.907398,0.005655
