eres,linewidth,imax,width,length,corrcoef
1.678592761135026,0.10381020558484719,8.472602582894686e-15,29.31,92.01,0.99960823530876
1.7204367218683116,0.10768543633757496,7.495867465690632e-15,29.56,89.22,0.999612032966682
1.7174614074017502,0.11426569991632532,9.271642387639533e-15,31.67,94.08,0.9995344380624914
1.7647335784254636,0.11332593227898118,6.703202050729004e-15,30.84,87.04,0.9995950442018933
1.6873074429973811,0.10631820553587304,8.712287893667706e-15,29.8,92.62,0.9995915506347673
1.6423296439634298,0.10512213812482508,1.0459703281789427e-14,29.76,97.85,0.9995205179052938
1.651446022076924,0.10741641769137288,1.0699887494648722e-14,30.85,97.83,0.999499612538591
1.7557220002142482,0.11272791954628375,6.872524996903352e-15,30.86,87.41,0.9995673191291
1.8231319614656831,0.11708299379513179,4.589979846793253e-15,29.97,80.57,0.9995612697481159
1.6628975351229034,0.10921750613766322,1.0603010848978388e-14,30.41,98.2,0.9995107798353896
1.7602165922698285,0.10959101013159324,6.08823718867443e-15,29.24,85.09,0.9996563155620316
1.762351079862821,0.12162877039985084,8.697183237153194e-15,32.75,92.95,0.999485543565099
1.790563638501429,0.10947869830443269,4.696068629445441e-15,28.41,80.54,0.9996640636962759
1.6806118436880582,0.10380349819672305,8.343440561631427e-15,28.64,92.18,0.9996168999375372
1.6769592834892089,0.10349087213896387,8.420192039337313e-15,28.7,92.32,0.9996148755745121
1.8014596557410025,0.11294852945115394,4.8830196637922455e-15,29.61,80.98,0.9996192255385072
1.69796972260016,0.10637967767895866,8.13716731075751e-15,29.22,91.34,0.9995985114946726
1.7772914998375042,0.1143226118830713,6.29760879921033e-15,30.55,85.67,0.9995951201624044
1.613220742956436,0.10060181029158789,1.0428852849277417e-14,28.7,98.0,0.999525299905434
1.7195418396931188,0.10196297194859356,6.117991318910616e-15,27.53,85.32,0.9997000854371557
1.7367010295271075,0.11567285293193565,8.660045850066006e-15,31.66,92.48,0.9995427529580942
1.8162951736927078,0.1211264623609243,5.714339523649586e-15,31.56,84.38,0.9994999568656279
1.5344979201723796,0.09773820880532665,1.2854952214725786e-14,28.16,106.12,0.9994127551304778
1.5964295736974339,0.09542090752301881,9.555972421313244e-15,27.38,96.07,0.9995598113314663
1.6819939947559062,0.10583684580012927,8.85424638698288e-15,29.71,93.28,0.9995940672428785
1.6029568764310325,0.1038933867289539,1.1852936251932265e-14,29.49,102.0,0.9994580453148094
1.5908660329564759,0.10001037972558983,1.1192484648320362e-14,28.39,100.76,0.9994843407628615
1.7583263828164546,0.11043216268267203,6.3080455921780036e-15,29.47,85.92,0.9996343440547013
1.8181978020824103,0.12271894299032939,5.9481764759249546e-15,31.93,85.4,0.9994572474435787
1.6803187411471052,0.11050991272470605,1.0144212554337924e-14,30.81,96.67,0.9995227865347469
1.7575936020209035,0.10140679271598076,4.248513954520981e-15,26.25,78.47,0.9997314234218182
1.6303857104472574,0.10690953246762117,1.1465847502021101e-14,30.09,100.7,0.9994651319445359
1.9016143379735742,0.1395111876440124,2.891506206885298e-15,31.28,75.4,0.9987354282548527
