Exp_eres,Exp_lw,Exp_width,Exp_length,Sim_eres,Sim_lw,Sim_width,Sim_length,Exp_ratio,Sim_ratio,dif_eres,dif_lw,dif_width,dif_length,dif_ratio
1.7806,0.0956,28.23,93.63,1.782840083,0.110235976,30.33,92.03,3.316684378,3.034289482,0.002240083,0.014635976,2.1,-1.6,-0.282394896
1.8267,0.0971,27.93,88.47,1.828581943,0.114288727,30.13,86.47,3.167561762,2.869897113,0.001881943,0.017188727,2.2,-2,-0.297664649
1.8676,0.1073,28.73,84.7,1.865952528,0.119635595,30.13,82.4,2.948137835,2.734815798,-0.001647472,0.012335595,1.4,-2.3,-0.213322037
1.7015,0.1053,27.94,104.34,1.704392295,0.105215352,30.24,101.04,3.734430923,3.341269841,0.002892295,-8.46E-05,2.3,-3.3,-0.393161082
1.8451,0.0953,24.44,75.99,1.842816543,0.106952282,26.34,75.09,3.109247136,2.850797267,-0.002283457,0.011652282,1.9,-0.9,-0.258449869
1.7332,0.0963,27.64,99.2,1.733045066,0.104150598,29.74,95.6,3.589001447,3.214525891,-0.000154934,0.007850598,2.1,-3.6,-0.374475556
1.6366,0.1081,28.77,113.08,1.634208672,0.103554747,30.87,110.18,3.930483142,3.569160998,-0.002391328,-0.004545253,2.1,-2.9,-0.361322144
1.808,0.0954,28.35,88.58,1.806625595,0.111952659,29.65,87.28,3.124514991,2.943676223,-0.001374405,0.016552659,1.3,-1.3,-0.180838769
1.862,0.1019,28.06,84.2,1.86469373,0.119958663,30.16,82.6,3.000712758,2.73872679,0.00269373,0.018058663,2.1,-1.6,-0.261985968
1.8546,0.0968,26.47,78.77,1.856268399,0.113539618,27.97,78.27,2.975821685,2.798355381,0.001668399,0.016739618,1.5,-0.5,-0.177466304
1.8088,0.0958,28.22,89.88,1.80587782,0.111562875,30.02,88.78,3.184975195,2.957361759,-0.00292218,0.015762875,1.8,-1.1,-0.227613436
1.8529,0.1016,29.49,86.71,1.853335423,0.124414096,30.99,85.71,2.940318752,2.765730881,0.000435423,0.022814096,1.5,-1,-0.174587871
1.5549,0.0981,23.77,106.83,1.552507176,0.084926606,25.47,105.13,4.494320572,4.127601099,-0.002392824,-0.013173394,1.7,-1.7,-0.366719473
1.8122,0.0916,25.09,79.9,1.81230165,0.105782091,26.09,78.3,3.184535672,3.001149866,0.00010165,0.014182091,1,-1.6,-0.183385806
1.8472,0.1006,28.62,87.05,1.844205934,0.116642083,30.22,84.75,3.041579315,2.80443415,-0.002994066,0.016042083,1.6,-2.3,-0.237145166
2.0097,0.1517,30.51,70.27,2.011633845,0.169163976,30.51,68.97,2.303179285,2.260570305,0.001933845,0.017463976,0,-1.3,-0.042608981
1.7396,0.0989,29.42,99.26,1.738338354,0.108318398,30.62,98.06,3.373895309,3.202482038,-0.001261646,0.009418398,1.2,-1.2,-0.171413271
1.8362,0.1069,30.41,88.02,1.833956132,0.117893206,31.01,87.42,2.894442618,2.819090616,-0.002243868,0.010993206,0.6,-0.6,-0.075352002
1.8707,0.1087,30.38,83.44,1.868061039,0.127191995,30.38,82.94,2.746543779,2.730085583,-0.002638961,0.018491995,0,-0.5,-0.016458196
1.8083,0.0962,27.46,90.4,1.805947041,0.109620629,29.76,87.6,3.29206118,2.943548387,-0.002352959,0.013420629,2.3,-2.8,-0.348512793
1.846,0.0956,25.93,78.67,1.84781311,0.1095219,27.13,77.47,3.033937524,2.855510505,0.00181311,0.0139219,1.2,-1.2,-0.178427019
1.912,0.1119,25.86,71.99,1.913357612,0.149266405,26.86,70.59,2.78383604,2.628071482,0.001357612,0.037366405,1,-1.4,-0.155764558
1.8282,0.1009,28.62,89.78,1.830303723,0.114909274,30.02,86.68,3.136967156,2.887408394,0.002103723,0.014009274,1.4,-3.1,-0.249558761
1.7985,0.0994,29.7,94.28,1.800634856,0.116025869,31.9,93.98,3.174410774,2.946081505,0.002134856,0.016625869,2.2,-0.3,-0.22832927
1.9202,0.1155,27.95,79.57,1.921771339,0.145904599,30.05,76.87,2.84686941,2.558069884,0.001571339,0.030404599,2.1,-2.7,-0.288799526
1.7903,0.0946,27.92,90.81,1.787429828,0.107565316,29.12,88.71,3.252507163,3.04635989,-0.002870172,0.012965316,1.2,-2.1,-0.206147273
1.7649,0.0952,28.25,94.57,1.762631801,0.106379801,29.65,92.27,3.347610619,3.111973019,-0.002268199,0.011179801,1.4,-2.3,-0.235637601
1.9045,0.1081,24.27,70.4,1.906229597,0.132006092,26.27,69.1,2.900700453,2.630376856,0.001729597,0.023906092,2,-1.3,-0.270323598
1.7717,0.0983,29.36,98.01,1.771798856,0.113160742,31.66,96.31,3.338215259,3.042008844,9.89E-05,0.014860742,2.3,-1.7,-0.296206415
1.7962,0.0938,26.05,87.33,1.795267221,0.104699955,28.15,84.63,3.352399232,3.006394316,-0.000932779,0.010899955,2.1,-2.7,-0.346004916
1.85,0.1007,27.21,83.27,1.852256237,0.116228158,29.41,81.97,3.060271959,2.787147229,0.002256237,0.015528158,2.2,-1.3,-0.27312473
1.8382,0.0936,26.12,80.37,1.840662657,0.10916794,27.32,78.77,3.076952527,2.883235725,0.002462657,0.01556794,1.2,-1.6,-0.193716802
1.7215,0.0953,26.43,96.93,1.718704738,0.100150999,28.53,94.43,3.667423383,3.309849281,-0.002795262,0.004850999,2.1,-2.5,-0.357574101
1.8978,0.1117,27.66,81.7,1.90041485,0.13271565,30.16,78.8,2.953723789,2.612732095,0.00261485,0.02101565,2.5,-2.9,-0.340991693
1.8797,0.1234,29.29,83.38,1.879246615,0.126788179,30.49,82.48,2.84670536,2.705149229,-0.000453385,0.003388179,1.2,-0.9,-0.141556131
1.6372,0.0937,24.95,102.73,1.635450743,0.092660207,27.25,100.43,4.11743487,3.685504587,-0.001749257,-0.001039793,2.3,-2.3,-0.431930283
1.8325,0.0904,23.11,73.64,1.830003338,0.100489877,24.31,71.44,3.186499351,2.93870835,-0.002496662,0.010089877,1.2,-2.2,-0.247791
1.6026,0.1095,28.37,118.58,1.605126255,0.104900379,31.17,115.68,4.17976736,3.711260828,0.002526255,-0.004599621,2.8,-2.9,-0.468506532
1.8795,0.1009,24.43,72.87,1.87688553,0.121050391,25.83,71.47,2.982808023,2.766937669,-0.00261447,0.020150391,1.4,-1.4,-0.215870354
1.7654,0.0954,27.67,94.82,1.767642338,0.106774019,29.77,91.92,3.426816046,3.087672153,0.002242338,0.011374019,2.1,-2.9,-0.339143893
1.8902,0.1081,28.52,82.16,1.89147529,0.127224936,30.12,80.06,2.880785414,2.658034529,0.00127529,0.019124936,1.6,-2.1,-0.222750885
1.7569,0.092,24.78,88.38,1.756022209,0.098857483,26.88,86.28,3.566585956,3.209821429,-0.000877791,0.006857483,2.1,-2.1,-0.356764528
1.7083,0.1061,29.65,104.02,1.705766066,0.10694954,31.05,102.12,3.508263069,3.288888889,-0.002533934,0.00084954,1.4,-1.9,-0.21937418
